county_key,County,year,population,FIPS
"Autauga County, Alabama",".Autauga County, Alabama",2010,54773,01001
"Baldwin County, Alabama",".Baldwin County, Alabama",2010,183112,01003
"Barbour County, Alabama",".Barbour County, Alabama",2010,27327,01005
"Bibb County, Alabama",".Bibb County, Alabama",2010,22870,01007
"Blount County, Alabama",".Blount County, Alabama",2010,57376,01009
"Bullock County, Alabama",".Bullock County, Alabama",2010,10876,01011
"Butler County, Alabama",".Butler County, Alabama",2010,20932,01013
"Calhoun County, Alabama",".Calhoun County, Alabama",2010,118408,01015
"Chambers County, Alabama",".Chambers County, Alabama",2010,34122,01017
"Cherokee County, Alabama",".Cherokee County, Alabama",2010,25963,01019
"Chilton County, Alabama",".Chilton County, Alabama",2010,43653,01021
"Choctaw County, Alabama",".Choctaw County, Alabama",2010,13849,01023
"Clarke County, Alabama",".Clarke County, Alabama",2010,25766,01025
"Clay County, Alabama",".Clay County, Alabama",2010,13898,01027
"Cleburne County, Alabama",".Cleburne County, Alabama",2010,15004,01029
"Coffee County, Alabama",".Coffee County, Alabama",2010,50208,01031
"Colbert County, Alabama",".Colbert County, Alabama",2010,54524,01033
"Conecuh County, Alabama",".Conecuh County, Alabama",2010,13236,01035
"Coosa County, Alabama",".Coosa County, Alabama",2010,11780,01037
"Covington County, Alabama",".Covington County, Alabama",2010,37809,01039
"Crenshaw County, Alabama",".Crenshaw County, Alabama",2010,13869,01041
"Cullman County, Alabama",".Cullman County, Alabama",2010,80456,01043
"Dale County, Alabama",".Dale County, Alabama",2010,50394,01045
"Dallas County, Alabama",".Dallas County, Alabama",2010,43854,01047
"DeKalb County, Alabama",".DeKalb County, Alabama",2010,71163,01049
"Elmore County, Alabama",".Elmore County, Alabama",2010,79552,01051
"Escambia County, Alabama",".Escambia County, Alabama",2010,38345,01053
"Etowah County, Alabama",".Etowah County, Alabama",2010,104459,01055
"Fayette County, Alabama",".Fayette County, Alabama",2010,17229,01057
"Franklin County, Alabama",".Franklin County, Alabama",2010,31746,01059
"Geneva County, Alabama",".Geneva County, Alabama",2010,26777,01061
"Greene County, Alabama",".Greene County, Alabama",2010,8991,01063
"Hale County, Alabama",".Hale County, Alabama",2010,15745,01065
"Henry County, Alabama",".Henry County, Alabama",2010,17296,01067
"Houston County, Alabama",".Houston County, Alabama",2010,101798,01069
"Jackson County, Alabama",".Jackson County, Alabama",2010,53184,01071
"Jefferson County, Alabama",".Jefferson County, Alabama",2010,658215,01073
"Lamar County, Alabama",".Lamar County, Alabama",2010,14496,01075
"Lauderdale County, Alabama",".Lauderdale County, Alabama",2010,92737,01077
"Lawrence County, Alabama",".Lawrence County, Alabama",2010,34342,01079
"Lee County, Alabama",".Lee County, Alabama",2010,140794,01081
"Limestone County, Alabama",".Limestone County, Alabama",2010,83181,01083
"Lowndes County, Alabama",".Lowndes County, Alabama",2010,11289,01085
"Macon County, Alabama",".Macon County, Alabama",2010,21505,01087
"Madison County, Alabama",".Madison County, Alabama",2010,336095,01089
"Marengo County, Alabama",".Marengo County, Alabama",2010,20956,01091
"Marion County, Alabama",".Marion County, Alabama",2010,30816,01093
"Marshall County, Alabama",".Marshall County, Alabama",2010,93122,01095
"Mobile County, Alabama",".Mobile County, Alabama",2010,413315,01097
"Monroe County, Alabama",".Monroe County, Alabama",2010,23005,01099
