FIPS,2014 DR,2015 DR,2016 DR,2017 DR,2018 DR,2019 DR,2020 DR,2021 DR,2022 DR,2023 DR
01001,145.3,129.9,129.6,113.3,96.7,102.8,95.2,91.3,78.1,42.7
01003,143.5,132.1,123.8,107.1,93.6,67.9,64.1,61.7,61.7,62.6
01005,102.0,93.3,92.7,90.5,86.0,27.6,22.5,15.4,9.4,15.4
01007,75.8,69.4,97.2,91.1,81.1,21.0,24.7,29.1,33.7,37.3
01009,63.2,57.9,56.9,50.4,45.4,23.8,22.3,22.9,19.0,15.7
01011,34.3,23.4,19.8,20.4,24.8,24.7,21.5,17.4,18.9,20.2
01013,145.0,140.5,135.4,119.6,106.0,40.6,35.9,34.4,29.0,17.3
01015,180.0,165.4,161.0,140.9,129.9,106.4,95.8,93.5,83.2,82.8
01017,163.1,147.3,140.6,127.2,117.1,58.2,57.5,60.8,62.0,59.5
01019,175.1,169.2,157.7,135.1,129.2,46.5,53.3,45.3,36.4,33.3
01021,132.1,120.6,120.4,107.4,96.0,41.2,38.8,35.2,32.7,31.9
01023,141.2,97.0,97.8,91.5,67.4,37.5,37.2,32.8,28.2,29.5
01025,184.3,165.6,164.7,156.1,144.4,66.3,66.8,57.4,56.7,48.9
01027,150.6,139.7,133.7,117.4,105.7,84.7,75.6,74.9,68.1,63.2
01029,48.2,51.1,44.2,47.8,38.2,14.5,5.7,5.5,4.4,5.0
01031,143.2,131.9,129.5,121.5,114.2,79.9,74.0,67.3,103.5,104.2
01033,234.3,222.9,208.1,188.0,167.0,157.0,145.1,136.5,135.6,127.9
01035,154.4,102.8,93.9,88.6,88.5,110.7,116.3,129.3,127.5,127.9
01037,35.7,26.8,25.4,24.1,24.4,0.0,0.0,0.0,0.0,0.0
01039,216.2,198.8,170.9,147.5,135.1,94.2,84.1,81.7,63.3,58.7
01041,101.5,94.0,90.9,80.9,59.8,33.2,34.7,34.7,30.8,29.4
01043,182.6,172.0,166.2,144.7,126.7,87.3,77.9,71.7,69.1,75.8
01045,71.5,63.8,78.7,69.4,69.6,34.0,31.7,35.6,32.3,30.4
01047,123.3,115.7,117.8,102.1,82.0,65.1,59.3,57.5,54.1,52.2
01049,122.7,117.6,114.4,105.0,98.2,62.6,64.3,68.8,60.8,50.0
01051,122.7,113.1,117.3,113.6,98.5,28.1,25.1,24.3,19.2,15.2
01053,166.8,174.3,173.9,156.5,137.4,76.7,80.4,65.6,66.8,63.4
01055,191.4,171.9,156.8,132.5,126.1,102.9,102.1,101.8,77.9,80.0
01057,162.5,162.0,133.3,113.6,92.2,48.5,53.3,41.7,32.7,26.3
01059,225.5,222.4,223.3,184.9,152.3,92.3,87.9,75.6,69.0,65.7
01061,50.4,56.4,50.2,44.1,38.9,15.1,16.8,18.4,18.7,16.4
01063,98.6,78.7,79.8,53.9,36.8,25.2,17.1,16.7,14.8,14.4
01065,100.2,85.1,97.7,99.3,74.6,22.3,22.5,21.7,17.2,14.9
01067,37.3,49.2,30.7,26.5,21.3,52.3,46.3,43.4,39.5,37.6
01069,161.1,146.6,142.8,136.4,127.8,146.2,135.8,140.2,132.4,129.8
01071,135.6,117.3,144.6,142.9,130.5,82.3,70.4,65.8,62.8,62.0
01073,130.2,123.4,116.7,105.1,95.8,144.2,135.8,136.8,131.2,124.0
01075,105.8,107.9,104.7,81.2,82.0,13.8,10.6,11.5,11.0,10.2
