FIPS,2010 Unemployment,2011 Unemployment,2012 Unemployment,2013 Unemployment,2014 Unemployment,2015 Unemployment,2016 Unemployment,2017 Unemployment,2018 Unemployment,2019 Unemployment,2020 Unemployment,2021 Unemployment,2022 Unemployment
01001,8.8,8.3,7.1,6.3,5.8,5.2,5.1,4.0,3.6,2.9,5.3,2.8,2.2
01003,9.9,9.0,7.7,6.7,6.1,5.6,5.4,4.2,3.6,2.9,6.1,2.9,2.3
01005,12.1,11.4,11.8,10.4,10.5,8.9,8.4,6.0,5.1,4.0,7.7,5.5,4.0
01007,11.2,10.4,8.8,8.0,7.2,6.7,6.5,4.5,4.0,3.2,7.2,3.4,2.4
01009,9.7,8.6,7.1,6.4,6.1,5.4,5.4,4.1,3.5,2.8,4.5,2.4,2.2
01011,11.7,11.5,10.6,9.5,8.8,8.0,6.9,5.0,4.7,3.9,5.9,3.9,2.8
01013,13.4,12.4,11.8,10.4,8.5,7.6,6.9,5.6,4.7,3.9,9.5,5.1,3.3
01015,11.2,10.3,9.1,8.9,7.9,7.1,6.6,5.1,4.6,3.7,7.7,4.0,3.0
01017,14.6,11.8,10.1,8.1,6.7,6.1,5.5,4.2,3.9,3.1,7.4,3.6,2.5
01019,10.5,9.6,8.2,6.7,5.8,5.5,5.1,4.2,3.6,3.0,5.1,2.5,2.3
01021,10.1,9.1,7.4,6.7,6.2,5.7,5.5,4.2,3.6,2.9,5.4,2.8,2.2
01023,13.0,13.0,10.5,9.4,9.0,9.2,8.5,6.5,5.5,4.9,7.3,4.3,3.7
01025,19.5,18.6,15.4,14.0,12.1,11.8,10.9,8.7,7.4,6.1,9.7,5.8,4.9
01027,14.2,11.7,9.6,8.5,7.1,6.2,6.0,4.4,3.8,3.1,4.4,2.7,2.2
01029,9.8,9.6,8.4,7.8,6.6,6.1,6.0,4.6,4.2,3.3,5.0,2.6,2.3
01031,8.5,8.1,7.2,7.0,6.6,6.0,5.9,4.5,3.9,3.1,4.8,2.8,2.5
01033,11.3,10.1,9.0,8.3,8.3,8.0,7.0,5.3,4.6,4.0,7.2,3.9,3.0
01035,16.9,15.0,12.2,10.9,10.3,9.3,8.4,6.3,5.2,4.2,7.9,4.7,3.4
01037,15.1,12.3,9.6,9.3,8.8,6.7,6.0,4.8,4.1,3.1,6.0,3.0,2.5
01039,10.2,9.8,8.6,8.2,7.7,7.2,6.8,5.3,4.6,3.6,5.4,3.0,2.6
01041,10.0,9.8,8.5,7.8,6.9,6.0,5.9,4.6,4.0,3.0,6.2,3.3,2.7
01043,10.3,9.5,7.9,6.8,6.0,5.3,5.0,3.8,3.3,2.7,4.7,2.3,2.0
01045,8.7,8.3,7.6,7.5,7.0,6.4,5.8,4.6,4.2,3.3,5.3,3.1,2.5
01047,16.6,15.0,13.2,12.4,11.2,9.6,9.2,7.7,6.5,5.8,11.6,7.1,4.9
01049,12.4,11.7,9.3,7.7,6.8,6.1,6.1,4.6,3.8,3.0,4.9,2.5,2.3
01051,9.0,8.4,7.1,6.2,5.7,5.1,4.8,3.8,3.4,2.8,5.2,2.7,2.1
01053,11.6,10.7,9.4,8.7,8.0,7.1,6.7,5.1,4.5,3.7,6.7,4.0,3.0
01055,10.8,10.0,8.5,7.7,7.0,6.2,5.9,4.7,4.1,3.6,8.3,4.0,3.0
01057,12.8,11.0,8.8,8.4,7.8,7.1,6.8,4.8,4.1,3.3,5.5,3.0,2.7
01059,10.5,9.5,8.6,8.2,7.7,6.5,5.9,4.4,3.7,2.9,4.9,2.5,2.3
01061,10.2,9.2,7.8,7.1,6.7,6.0,5.8,4.4,3.9,3.1,4.5,2.8,2.3
01063,17.0,17.1,13.9,13.0,12.4,11.1,10.0,7.7,6.6,5.9,11.6,6.5,4.2
01065,14.8,13.7,11.7,11.8,9.8,7.8,7.7,6.1,5.1,4.2,10.2,5.5,3.8
01067,10.8,9.7,8.5,7.8,7.5,6.8,6.5,5.0,4.4,3.8,5.3,3.1,2.7
01069,9.0,8.6,7.8,7.0,6.7,6.3,5.8,4.5,4.0,3.2,5.9,3.3,2.5
01071,11.6,10.2,8.8,8.0,7.2,6.7,6.3,4.9,4.1,3.5,5.8,2.8,2.4
01073,10.2,9.2,7.6,6.8,6.3,5.8,5.7,4.4,3.7,3.0,6.7,3.5,2.5
01075,13.0,9.6,7.7,7.1,6.9,6.4,5.7,4.3,3.8,3.3,5.3,3.0,2.6
01077,10.0,9.1,7.9,7.2,7.2,7.0,6.4,4.7,4.2,3.5,6.1,3.1,2.6
01079,12.4,10.8,9.2,8.5,8.2,7.8,6.9,5.0,4.1,3.3,5.4,2.9,2.3
01081,8.9,8.0,7.0,6.0,5.6,5.3,5.2,4.1,3.6,2.9,5.7,2.8,2.3
01083,9.5,8.6,7.0,6.3,6.1,5.5,5.3,4.1,3.5,2.8,4.6,2.4,2.0
01085,18.1,17.5,15.8,14.3,12.8,11.6,10.6,8.4,7.3,6.1,14.3,8.7,5.1
01087,14.5,13.9,11.0,9.8,9.1,8.1,7.6,5.9,5.4,4.5,10.3,5.8,3.7
01089,8.2,8.2,7.1,6.4,6.1,5.5,5.1,4.0,3.5,2.7,5.1,2.6,2.1
01091,13.5,12.4,10.4,9.0,7.9,7.7,7.2,5.7,4.9,3.7,6.8,4.2,3.3
01093,13.3,11.1,9.1,8.0,7.9,7.0,6.6,4.9,4.1,3.7,5.5,2.8,2.4
01095,9.5,9.4,8.0,6.9,6.6,5.8,5.3,3.9,3.4,2.6,4.6,2.4,2.0
01097,11.1,10.7,9.4,8.7,7.7,6.9,6.6,5.3,4.7,3.9,8.5,4.6,3.2
01099,17.8,15.5,12.8,12.0,11.0,10.1,9.1,6.9,6.1,5.1,8.8,5.5,4.0
01101,9.9,9.7,8.3,7.4,6.8,6.1,5.7,4.4,4.0,3.3,8.4,4.7,3.0
01103,10.6,9.4,8.0,7.0,6.6,5.9,5.5,4.2,3.5,2.7,4.9,2.6,2.0
01105,16.5,16.3,13.6,13.7,12.0,10.0,10.3,8.0,6.5,5.5,11.8,7.9,5.1
01107,12.9,11.9,10.4,9.5,8.1,6.8,6.9,5.5,4.6,3.7,7.2,4.0,3.2
01109,9.4,8.9,8.2,7.8,7.3,6.6,6.5,5.0,4.5,3.5,5.4,3.2,2.7
01111,13.1,11.3,9.4,7.9,6.7,5.9,5.6,4.5,4.0,3.2,5.2,2.7,2.4
01113,10.7,10.2,9.0,7.4,6.5,6.0,5.6,4.4,4.0,3.1,5.7,3.0,2.6
01115,10.0,8.7,7.0,6.2,5.7,5.2,5.2,4.1,3.5,2.9,5.3,2.6,2.1
01117,7.0,6.2,5.2,4.7,4.5,4.2,4.3,3.3,2.8,2.3,4.2,2.1,1.8
01119,13.1,13.0,10.7,9.2,8.4,8.0,7.7,6.7,5.8,4.8,7.6,4.4,3.4
01121,13.2,11.5,9.6,8.7,7.7,6.6,6.6,5.1,4.3,3.6,7.7,4.0,3.0
01123,12.9,11.3,8.8,8.2,7.5,6.1,5.6,4.3,4.1,3.2,7.5,3.9,2.8
01125,9.1,8.3,7.2,6.5,5.9,5.5,5.7,4.3,3.6,2.9,7.2,3.5,2.5
01127,12.5,11.2,9.4,8.6,7.9,7.3,7.5,5.2,4.2,3.5,6.4,3.5,2.7
01129,13.9,14.4,12.2,11.0,9.5,9.0,8.6,6.9,5.8,4.9,8.7,4.6,3.6
