fips_i,fips_j,routes,n_routes,edge_type
01001,01021,I-65,1,sequential
01001,01051,I-65,1,sequential
01003,01053,I-65,1,sequential
01003,01097,"I-10,I-65",2,sequential
01003,12033,I-10,1,sequential
01009,01043,I-65,1,sequential
01009,01073,I-65,1,sequential
01013,01035,I-65,1,sequential
01013,01085,I-65,1,sequential
01015,01029,I-20,1,sequential
01015,01121,I-20,1,sequential
01017,01081,I-85,1,sequential
01017,13145,I-85,1,sequential
01021,01117,I-65,1,sequential
01029,13143,I-20,1,sequential
01035,01053,I-65,1,sequential
01043,01103,I-65,1,sequential
01049,01055,I-59,1,sequential
01049,13083,I-59,1,sequential
01051,01101,I-65,1,sequential
01055,01115,I-59,1,sequential
01063,01119,"I-20,I-59",2,sequential
01063,01125,"I-20,I-59",2,sequential
01073,01115,"I-20,I-59",2,sequential
01073,01117,I-65,1,sequential
01073,01125,"I-20,I-59",2,sequential
01073,01127,I-22,1,sequential
01081,01087,I-85,1,sequential
01083,01089,I-565,1,sequential
01083,01103,I-65,1,sequential
01083,47055,I-65,1,sequential
01085,01101,I-65,1,sequential
01087,01101,I-85,1,sequential
01093,01127,I-22,1,sequential
01093,28057,I-22,1,sequential
01097,28059,I-10,1,sequential
01115,01121,I-20,1,sequential
01119,28075,"I-20,I-59",2,sequential
04001,04017,I-40,1,sequential
04001,35031,I-40,1,sequential
04003,04019,I-10,1,sequential
04003,35023,I-10,1,sequential
04005,04017,I-40,1,sequential
04005,04025,"I-17,I-40",2,sequential
04012,04013,I-10,1,sequential
04012,06065,I-10,1,sequential
04013,04021,"I-10,I-8",2,sequential
04013,04025,I-17,1,sequential
04013,04027,I-8,1,sequential
04015,04025,I-40,1,sequential
04015,06071,I-40,1,sequential
04015,32003,I-15,1,sequential
04015,49053,I-15,1,sequential
04019,04021,I-10,1,sequential
04019,04023,I-19,1,sequential
04027,06025,I-8,1,sequential
05007,05143,I-49,1,sequential
05019,05059,I-30,1,sequential
05019,05099,I-30,1,sequential
05029,05045,I-40,1,sequential
05029,05115,I-40,1,sequential
05031,05111,I-555,1,sequential
05033,05047,I-40,1,sequential
