route,FIPS,county_name,state_fips
I-10,01003,Baldwin,01
I-10,01097,Mobile,01
I-10,04003,Cochise,04
I-10,04012,La Paz,04
I-10,04013,Maricopa,04
I-10,04019,Pima,04
I-10,04021,Pinal,04
I-10,06037,Los Angeles,06
I-10,06065,Riverside,06
I-10,06071,San Bernardino,06
I-10,12003,Baker,12
I-10,12023,Columbia,12
I-10,12031,Duval,12
I-10,12033,Escambia,12
I-10,12039,Gadsden,12
I-10,12059,Holmes,12
I-10,12063,Jackson,12
I-10,12065,Jefferson,12
I-10,12073,Leon,12
I-10,12079,Madison,12
I-10,12089,Nassau,12
I-10,12091,Okaloosa,12
I-10,12113,Santa Rosa,12
I-10,12121,Suwannee,12
I-10,12131,Walton,12
I-10,12133,Washington,12
I-10,22001,Acadia,22
I-10,22005,Ascension,22
I-10,22019,Calcasieu,22
I-10,22033,East Baton Rouge,22
I-10,22047,Iberville,22
I-10,22051,Jefferson,22
I-10,22053,Jefferson Davis,22
I-10,22055,Lafayette,22
I-10,22071,Orleans,22
I-10,22089,St. Charles,22
I-10,22093,St. James,22
I-10,22095,St. John the Baptist,22
I-10,22099,St. Martin,22
I-10,22103,St. Tammany,22
I-10,22121,West Baton Rouge,22
I-10,28045,Hancock,28
I-10,28047,Harrison,28
I-10,28059,Jackson,28
I-10,35013,Doña Ana,35
I-10,35017,Grant,35
I-10,35023,Hidalgo,35
I-10,35029,Luna,35
I-10,48015,Austin,48
I-10,48029,Bexar,48
I-10,48055,Caldwell,48
I-10,48071,Chambers,48
I-10,48089,Colorado,48
I-10,48105,Crockett,48
I-10,48109,Culberson,48
I-10,48141,El Paso,48
I-10,48149,Fayette,48
I-10,48157,Fort Bend,48
I-10,48171,Gillespie,48
I-10,48177,Gonzales,48
I-10,48187,Guadalupe,48
I-10,48201,Harris,48
I-10,48229,Hudspeth,48
I-10,48243,Jeff Davis,48
I-10,48245,Jefferson,48
I-10,48259,Kendall,48
I-10,48265,Kerr,48
I-10,48267,Kimble,48
I-10,48361,Orange,48
I-10,48371,Pecos,48
I-10,48389,Reeves,48
I-10,48435,Sutton,48
I-10,48473,Waller,48
I-105,06037,Los Angeles,06
I-105,41039,Lane,41
I-11,32003,Clark,32
I-110,06037,Los Angeles,06
I-110,12033,Escambia,12
I-110,22033,East Baton Rouge,22
I-110,28047,Harrison,28
I-110,48141,El Paso,48
I-115,30093,Silver Bow,30
I-12,22033,East Baton Rouge,22
I-12,22063,Livingston,22
I-12,22103,St. Tammany,22
I-12,22105,Tangipahoa,22
I-126,45079,Richland,45
I-129,19193,Woodbury,19
I-129,31043,Dakota,31
I-135,20079,Harvey,20
I-135,20113,McPherson,20
I-135,20169,Saline,20
I-135,20173,Sedgwick,20
I-14,48027,Bell,48
I-14,48099,Coryell,48
I-140,37019,Brunswick,37
I-140,37129,New Hanover,37
I-140,47009,Blount,47
I-140,47093,Knox,47
I-15,04015,Mohave,04
I-15,06065,Riverside,06
I-15,06071,San Bernardino,06
I-15,06073,San Diego,06
I-15,16005,Bannock,16
I-15,16011,Bingham,16
I-15,16019,Bonneville,16
I-15,16033,Clark,16
I-15,16051,Jefferson,16
I-15,16071,Oneida,16
I-15,30001,Beaverhead,30
I-15,30013,Cascade,30
I-15,30043,Jefferson,30
I-15,30049,Lewis and Clark,30
I-15,30057,Madison,30
I-15,30073,Pondera,30
I-15,30093,Silver Bow,30
I-15,30099,Teton,30
I-15,30101,Toole,30
I-15,32003,Clark,32
I-15,49001,Beaver,49
I-15,49003,Box Elder,49
I-15,49011,Davis,49
I-15,49021,Iron,49
I-15,49023,Juab,49
I-15,49027,Millard,49
I-15,49035,Salt Lake,49
I-15,49049,Utah,49
I-15,49053,Washington,49
I-15,49057,Weber,49
I-155,17107,Logan,17
I-155,17179,Tazewell,17
I-155,29155,Pemiscot,29
I-155,47045,Dyer,47
I-16,13021,Bibb,13
I-16,13023,Bleckley,13
I-16,13029,Bryan,13
I-16,13031,Bulloch,13
I-16,13043,Candler,13
I-16,13051,Chatham,13
I-16,13103,Effingham,13
I-16,13107,Emanuel,13
I-16,13175,Laurens,13
I-16,13283,Treutlen,13
I-16,13289,Twiggs,13
I-165,01097,Mobile,01
I-169,48061,Cameron,48
I-17,04005,Coconino,04
I-17,04013,Maricopa,04
I-17,04025,Yavapai,04
I-170,29189,St. Louis,29
I-172,17001,Adams,17
I-172,17149,Pike,17
I-175,12103,Pinellas,12
I-176,42011,Berks,42
I-180,17011,Bureau,17
I-180,17155,Putnam,17
I-180,31109,Lancaster,31
I-180,42081,Lycoming,42
I-180,42097,Northumberland,42
I-181,47019,Carter,47
I-181,47163,Sullivan,47
I-181,47171,Unicoi,47
I-181,47179,Washington,47
I-181,51169,Scott,51
I-182,53005,Benton,53
I-182,53021,Franklin,53
I-184,16001,Ada,16
I-185,13145,Harris,13
I-185,13215,Muscogee,13
I-185,13285,Troup,13
I-185,45045,Greenville,45
I-189,50007,Chittenden,50
I-19,04019,Pima,04
I-19,04023,Santa Cruz,04
I-190,17031,Cook,17
I-190,25027,Worcester,25
I-190,36029,Erie,36
I-190,36063,Niagara,36
I-190,46103,Pennington,46
I-194,26025,Calhoun,26
I-194,38059,Morton,38
I-195,12086,Miami-Dade,12
I-195,23031,York,23
I-195,24003,Anne Arundel,24
I-195,24005,Baltimore,24
I-195,25005,Bristol,25
I-195,25023,Plymouth,25
I-195,34021,Mercer,34
I-195,34025,Monmouth,34
I-195,34029,Ocean,34
I-195,44007,Providence,44
I-195,51087,Henrico,51
I-195,51760,Richmond,51
I-196,26005,Allegan,26
I-196,26021,Berrien,26
I-196,26081,Kent,26
I-196,26139,Ottawa,26
I-196,26159,Van Buren,26
I-2,48061,Cameron,48
I-2,48215,Hidalgo,48
I-20,01015,Calhoun,01
I-20,01029,Cleburne,01
I-20,01063,Greene,01
I-20,01073,Jefferson,01
I-20,01115,St. Clair,01
I-20,01119,Sumter,01
I-20,01121,Talladega,01
I-20,01125,Tuscaloosa,01
I-20,13045,Carroll,13
I-20,13067,Cobb,13
I-20,13073,Columbia,13
I-20,13089,DeKalb,13
I-20,13097,Douglas,13
I-20,13121,Fulton,13
I-20,13133,Greene,13
I-20,13143,Haralson,13
I-20,13189,McDuffie,13
I-20,13211,Morgan,13
I-20,13217,Newton,13
I-20,13245,Richmond,13
I-20,13247,Rockdale,13
I-20,13265,Taliaferro,13
I-20,13297,Walton,13
I-20,13301,Warren,13
I-20,22013,Bienville,22
I-20,22015,Bossier,22
I-20,22017,Caddo,22
I-20,22061,Lincoln,22
I-20,22065,Madison,22
I-20,22073,Ouachita,22
I-20,22083,Richland,22
I-20,22119,Webster,22
I-20,28049,Hinds,28
I-20,28075,Lauderdale,28
I-20,28101,Newton,28
I-20,28121,Rankin,28
I-20,28123,Scott,28
I-20,28149,Warren,28
I-20,45003,Aiken,45
I-20,45031,Darlington,45
I-20,45041,Florence,45
I-20,45055,Kershaw,45
I-20,45061,Lee,45
I-20,45063,Lexington,45
I-20,45079,Richland,45
I-20,48059,Callahan,48
I-20,48103,Crane,48
I-20,48113,Dallas,48
I-20,48133,Eastland,48
I-20,48135,Ector,48
I-20,48143,Erath,48
I-20,48183,Gregg,48
I-20,48203,Harrison,48
I-20,48227,Howard,48
I-20,48257,Kaufman,48
I-20,48317,Martin,48
I-20,48329,Midland,48
I-20,48335,Mitchell,48
I-20,48353,Nolan,48
I-20,48363,Palo Pinto,48
I-20,48367,Parker,48
I-20,48389,Reeves,48
I-20,48423,Smith,48
I-20,48439,Tarrant,48
I-20,48441,Taylor,48
I-20,48467,Van Zandt,48
I-20,48475,Ward,48
I-205,06001,Alameda,06
I-205,06077,San Joaquin,06
I-205,41005,Clackamas,41
I-205,41051,Multnomah,41
I-205,41067,Washington,41
I-205,53011,Clark,53
I-210,06037,Los Angeles,06
I-210,22019,Calcasieu,22
I-215,06065,Riverside,06
I-215,06071,San Bernardino,06
I-215,32003,Clark,32
I-215,49011,Davis,49
I-215,49035,Salt Lake,49
I-22,01073,Jefferson,01
I-22,01093,Marion,01
I-22,01127,Walker,01
I-22,28009,Benton,28
I-22,28033,DeSoto,28
I-22,28057,Itawamba,28
I-22,28081,Lee,28
I-22,28093,Marshall,28
I-22,28115,Pontotoc,28
I-22,28145,Union,28
I-220,22015,Bossier,22
I-220,22017,Caddo,22
I-220,28049,Hinds,28
I-220,28089,Madison,28
I-225,08001,Adams,08
I-225,08005,Arapahoe,08
I-225,08031,Denver,08
I-229,29003,Andrew,29
I-229,29021,Buchanan,29
I-229,46083,Lincoln,46
I-229,46099,Minnehaha,46
I-235,19153,Polk,19
I-235,20173,Sedgwick,20
I-235,40109,Oklahoma,40
I-238,06001,Alameda,06
I-24,13083,Dade,13
I-24,17087,Johnson,17
I-24,17127,Massac,17
I-24,17199,Williamson,17
I-24,21033,Caldwell,21
I-24,21047,Christian,21
I-24,21139,Livingston,21
I-24,21143,Lyon,21
I-24,21145,McCracken,21
I-24,21157,Marshall,21
I-24,21221,Trigg,21
I-24,47003,Bedford,47
I-24,47021,Cheatham,47
I-24,47031,Coffee,47
I-24,47037,Davidson,47
I-24,47061,Grundy,47
I-24,47065,Hamilton,47
I-24,47115,Marion,47
I-24,47125,Montgomery,47
I-24,47147,Robertson,47
I-24,47149,Rutherford,47
I-240,37021,Buncombe,37
I-240,40109,Oklahoma,40
I-240,47157,Shelby,47
I-244,40143,Tulsa,40
I-25,08001,Adams,08
I-25,08005,Arapahoe,08
I-25,08014,Broomfield,08
I-25,08031,Denver,08
I-25,08035,Douglas,08
I-25,08041,El Paso,08
I-25,08055,Huerfano,08
I-25,08069,Larimer,08
I-25,08071,Las Animas,08
I-25,08101,Pueblo,08
I-25,08123,Weld,08
I-25,35001,Bernalillo,35
I-25,35007,Colfax,35
I-25,35013,Doña Ana,35
I-25,35033,Mora,35
I-25,35043,Sandoval,35
I-25,35047,San Miguel,35
I-25,35049,Santa Fe,35
I-25,35051,Sierra,35
I-25,35053,Socorro,35
I-25,35061,Valencia,35
I-25,56009,Converse,56
I-25,56019,Johnson,56
I-25,56021,Laramie,56
I-25,56025,Natrona,56
I-25,56031,Platte,56
I-255,17119,Madison,17
I-255,17133,Monroe,17
I-255,17163,St. Clair,17
I-255,29189,St. Louis,29
I-26,37021,Buncombe,37
I-26,37089,Henderson,37
I-26,37115,Madison,37
I-26,37149,Polk,37
I-26,45015,Berkeley,45
I-26,45017,Calhoun,45
I-26,45019,Charleston,45
I-26,45035,Dorchester,45
I-26,45059,Laurens,45
I-26,45063,Lexington,45
I-26,45071,Newberry,45
I-26,45075,Orangeburg,45
I-26,45079,Richland,45
I-26,45083,Spartanburg,45
I-26,47019,Carter,47
I-26,47163,Sullivan,47
I-26,47171,Unicoi,47
I-26,47179,Washington,47
I-26,51169,Scott,51
I-264,21111,Jefferson,21
I-264,51550,Chesapeake,51
I-264,51710,Norfolk,51
I-264,51740,Portsmouth,51
I-264,51810,Virginia Beach,51
I-265,18019,Clark,18
I-265,18043,Floyd,18
I-265,21111,Jefferson,21
I-269,28033,DeSoto,28
I-269,28093,Marshall,28
I-269,47047,Fayette,47
I-269,47157,Shelby,47
I-27,48189,Hale,48
I-27,48303,Lubbock,48
I-27,48375,Potter,48
I-27,48381,Randall,48
I-27,48437,Swisher,48
I-270,08001,Adams,08
I-270,08031,Denver,08
I-270,17005,Bond,17
I-270,17119,Madison,17
I-270,24021,Frederick,24
I-270,24031,Montgomery,24
I-270,29189,St. Louis,29
I-270,29510,St. Louis,29
I-270,39049,Franklin,39
I-271,39035,Cuyahoga,39
I-271,39085,Lake,39
I-271,39103,Medina,39
I-271,39153,Summit,39
I-275,12057,Hillsborough,12
I-275,12081,Manatee,12
I-275,12101,Pasco,12
I-275,12103,Pinellas,12
I-275,18029,Dearborn,18
I-275,21015,Boone,21
I-275,21037,Campbell,21
I-275,21117,Kenton,21
I-275,26115,Monroe,26
I-275,26125,Oakland,26
I-275,26163,Wayne,26
I-275,39025,Clermont,39
I-275,39061,Hamilton,39
I-275,47093,Knox,47
I-276,42017,Bucks,42
I-276,42029,Chester,42
I-276,42091,Montgomery,42
I-277,37119,Mecklenburg,37
I-277,39153,Summit,39
I-278,34039,Union,34
