County,2020,2021,2022,2023,2024
".Autauga County, Alabama",58909,59191,59736,60436,61464
".Baldwin County, Alabama",233244,239411,246577,254107,261608
".Barbour County, Alabama",24975,24517,24722,24644,24358
".Bibb County, Alabama",22176,22344,21983,21890,22258
".Blount County, Alabama",59110,59050,59491,59777,60163
".Bullock County, Alabama",10230,10126,10126,9908,9901
".Butler County, Alabama",19027,18856,18652,18357,18256
".Calhoun County, Alabama",116242,115633,115744,116403,116427
".Chambers County, Alabama",34572,34396,34093,34087,33813
".Cherokee County, Alabama",24981,25060,25334,25700,26138
".Chilton County, Alabama",45060,45255,45856,46525,47262
".Choctaw County, Alabama",12622,12544,12420,12263,12052
".Clarke County, Alabama",22989,22735,22545,22305,22142
".Clay County, Alabama",14210,14156,14198,14157,14239
".Cleburne County, Alabama",15063,15151,15353,15658,15905
".Coffee County, Alabama",53565,54201,54769,55707,56358
".Colbert County, Alabama",57305,57615,58023,58382,58785
".Conecuh County, Alabama",11551,11317,11220,11177,11109
".Coosa County, Alabama",10340,10321,10283,10267,10291
".Covington County, Alabama",37513,37512,37508,37861,37748
".Crenshaw County, Alabama",13171,13062,13096,13168,13114
".Cullman County, Alabama",88142,89578,90597,91909,92604
".Dale County, Alabama",49260,49344,49472,49852,50067
".Dallas County, Alabama",38185,37496,36772,36294,35545
".DeKalb County, Alabama",71673,71880,72046,72626,73122
".Elmore County, Alabama",87871,88734,89566,90416,91042
".Escambia County, Alabama",36687,36628,36620,36582,36630
".Etowah County, Alabama",103437,102887,102821,103174,103207
".Fayette County, Alabama",16329,16119,16041,15913,15863
".Franklin County, Alabama",32076,31991,31947,31941,31874
".Geneva County, Alabama",26703,26632,26787,27052,27259
".Greene County, Alabama",7701,7583,7412,7299,7127
".Hale County, Alabama",14771,14715,14613,14931,15116
".Henry County, Alabama",17171,17412,17638,17872,18141
".Houston County, Alabama",107300,107412,108063,108556,109366
".Jackson County, Alabama",52532,52688,52842,53423,53780
".Jefferson County, Alabama",674727,669677,665543,664084,664744
".Lamar County, Alabama",13954,13725,13628,13616,13543
".Lauderdale County, Alabama",94031,94846,95903,96867,97502
".Lawrence County, Alabama",33075,33052,33182,33505,33567
".Lee County, Alabama",174856,177652,181044,184271,187847
".Limestone County, Alabama",104209,107285,110926,114803,118942
".Lowndes County, Alabama",10284,9936,9778,9682,9485
".Macon County, Alabama",19472,18917,18561,18347,18159
".Madison County, Alabama",390527,396663,404155,413891,423355
".Marengo County, Alabama",19271,18978,18790,18705,18512
".Marion County, Alabama",29175,28972,29171,29279,29323
".Marshall County, Alabama",97706,98268,99570,101041,102156
".Mobile County, Alabama",414409,413164,411291,411745,412339
".Monroe County, Alabama",19704,19530,19403,19244,19057
".Montgomery County, Alabama",228363,226811,226554,225966,225894
".Morgan County, Alabama",123329,123270,124218,125455,126084
".Perry County, Alabama",8456,8314,7893,7772,7719
".Pickens County, Alabama",18962,18615,18780,18741,18508
".Pike County, Alabama",32904,32748,32998,33163,33124
".Randolph County, Alabama",22093,22157,22442,22789,23067
".Russell County, Alabama",59252,58651,58522,58792,58837
".St. Clair County, Alabama",91687,92850,93879,95487,96927
".Shelby County, Alabama",223915,227436,230140,233593,235969
".Sumter County, Alabama",12192,11960,11894,11737,11607
".Talladega County, Alabama",81416,80556,80674,81083,81375
".Tallapoosa County, Alabama",41288,41084,40910,40709,40699
".Tuscaloosa County, Alabama",232651,236699,237995,239204,241212
".Walker County, Alabama",65141,64552,64408,64845,65260
".Washington County, Alabama",15331,15226,15098,15040,15018
".Wilcox County, Alabama",10533,10411,10124,9925,9865
".Winston County, Alabama",23488,23639,23741,23673,23869
